식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
김치국,국 및 탕류,100g,23,2.63,1.34,0.76,208,가정식(분석 함량)
김치국_콩나물,국 및 탕류,100g,12,1.15,0.82,0.47,230,가정식(분석 함량)
내장탕,국 및 탕류,100g,71,1.68,5.82,4.52,216,가정식(분석 함량)
냉국_미역,국 및 탕류,100g,37,7.51,0.19,0.67,148,가정식(분석 함량)
냉국_미역_오이,국 및 탕류,100g,6,0.85,0.37,0.15,327,가정식(분석 함량)
달걀국,국 및 탕류,100g,13,0.69,0.93,0.74,246,가정식(분석 함량)
달걀탕_순두부,국 및 탕류,100g,29,0.94,1.78,2.04,101,가정식(분석 함량)
닭곰탕,국 및 탕류,100g,51,2.00,7.51,1.42,170,가정식(분석 함량)
도가니탕,국 및 탕류,100g,40,0.82,8.35,0.33,150,가정식(분석 함량)
된장국_감자,국 및 탕류,100g,25,3.70,1.09,0.60,357,가정식(분석 함량)
된장국_냉이,국 및 탕류,100g,22,2.20,1.71,0.66,236,가정식(분석 함량)
된장국_미역,국 및 탕류,100g,24,2.28,1.56,0.97,305,가정식(분석 함량)
된장국_배추,국 및 탕류,100g,20,2.58,1.46,0.40,223,가정식(분석 함량)
된장국_시금치,국 및 탕류,100g,9,0.98,1.02,0.17,124,가정식(분석 함량)
된장국_시래기,국 및 탕류,100g,15,2.03,1.31,0.22,195,가정식(분석 함량)
된장국_쑥,국 및 탕류,100g,15,1.52,1.22,0.47,243,가정식(분석 함량)
된장국_아욱,국 및 탕류,100g,20,1.59,2.28,0.56,236,가정식(분석 함량)
된장국_얼갈이배추,국 및 탕류,100g,9,0.85,0.50,0.41,195,가정식(분석 함량)
된장국_우거지,국 및 탕류,100g,20,0.82,2.77,0.59,291,가정식(분석 함량)
된장국_콩나물,국 및 탕류,100g,31,2.62,2.58,1.11,365,가정식(분석 함량)
된장국_해물,국 및 탕류,100g,28,2.68,2.10,0.98,384,가정식(분석 함량)
된장국_호박,국 및 탕류,100g,31,1.41,3.34,1.31,452,가정식(분석 함량)
된장국_호박잎,국 및 탕류,100g,7,0.54,0.40,0.32,163,가정식(분석 함량)
무국_소고기,국 및 탕류,100g,15,1.10,1.33,0.64,166,가정식(분석 함량)
무국_홍합,국 및 탕류,100g,25,0.86,0.79,2.03,233,가정식(분석 함량)
묵국_메밀묵,국 및 탕류,100g,22,3.57,1.00,0.40,238,가정식(분석 함량)
미역국,국 및 탕류,100g,12,0.87,0.65,0.61,168,가정식(분석 함량)
미역국_대합,국 및 탕류,100g,11,0.56,1.23,0.45,232,가정식(분석 함량)
미역국_새우,국 및 탕류,100g,16,1.83,1.09,0.46,5,가정식(분석 함량)
미역국_소고기,국 및 탕류,100g,13,0.82,1.86,0.26,196,가정식(분석 함량)
배추국_소고기,국 및 탕류,100g,16,1.14,1.84,0.41,248,가정식(분석 함량)
북어국,국 및 탕류,100g,28,0.84,3.89,0.98,232,가정식(분석 함량)
사골국,국 및 탕류,100g,55,2.81,5.56,2.42,75,가정식(분석 함량)
삼계탕,국 및 탕류,100g,101,3.84,10.68,4.80,82,가정식(분석 함량)
새우탕,국 및 탕류,100g,33,2.00,5.17,0.44,268,가정식(분석 함량)
설렁탕,국 및 탕류,100g,24,0.36,4.26,0.58,22,가정식(분석 함량)
순대국,국 및 탕류,100g,85,14.95,2.35,1.75,330,가정식(분석 함량)
어묵국(어묵탕),국 및 탕류,100g,31,3.83,1.49,1.03,226,가정식(분석 함량)
오징어국,국 및 탕류,100g,18,0.73,2.22,0.73,257,가정식(분석 함량)
육개장,국 및 탕류,100g,30,1.49,3.68,0.99,201,가정식(분석 함량)
육개장_닭고기,국 및 탕류,100g,20,1.41,2.74,0.42,167,가정식(분석 함량)
장어탕,국 및 탕류,100g,67,3.68,4.32,3.91,387,가정식(분석 함량)
재첩국,국 및 탕류,100g,23,4.54,0.67,0.29,126,가정식(분석 함량)
조개국,국 및 탕류,100g,16,0.25,1.67,0.89,297,가정식(분석 함량)
콩나물국,국 및 탕류,100g,6,0.61,0.74,0.09,219,가정식(분석 함량)
토란국,국 및 탕류,100g,16,2.61,1.00,0.12,190,가정식(분석 함량)
